ansatzbezeichnung;kontenbezeichnung;voranschlag-rj
Bauhof;Materialankauf;18000
Bauhof;Brennstoffe;14700
Bauhof;Treibstoffe;600
Bauhof;Treibst.Pkw 2 Opel;1000
Bauhof;Treibst.Pkw 3 Suzuki SX4;1500
Bauhof;Treibstoff Pkw 4 Citroen Berlingo;2200
Bauhof;Treibstoff Pkw 6 VW Transporter;1000
Bauhof;Treibst.Lkw 1 MAN;10200
Bauhof;Treibst.Lkw 2 Steyr;2400
Bauhof;Treibst.Lkw 3 MAN;2500
Bauhof;Treibst.T 1 Iveco;3000
Bauhof;Treibst.T 2 Movano-Van Opel;1600
Bauhof;Treibst. T 4 Dacia Logan;1800
Bauhof;Treibst.Walze,Kompressor u. sonstige Geräte;4200
Bauhof;Treibstoffe / Ankauf;70000
Bauhof;Reinigungsmittel;3200
Bauhof;Schreib-, Zeichen- und sonstige Büromittel;2600
Bauhof;Druckwerke;900
Bauhof;Vervielfältigungen;4500
Bauhof;Sonstige Verbrauchsgüter;8500
Bauhof;Geldbezüge Angestellte;1373900
Bauhof;Geldbezüge Arbeiter;48100
Bauhof;Geldbezüge Lehrlinge/Vw.Praktikant;4800
Bauhof;Geldbezüge Aushilfen;7100
Bauhof;Reisegebühren;11500
Bauhof;Sonst.Aufwandsentschä.;5100
Bauhof;Mehrleistungsvergütung;46300
Bauhof;Zuwendung Dienstjubiläen;0
Bauhof;Sonstige Nebengebühren;28500
Bauhof;Dgb-Angest.Und Arbeit.;304800
Bauhof;Kommunalsteuer;15000
Bauhof;Pensionskassa DG-Beitrag;12200
Bauhof;Mitarbeitervorsorge (Abfertigung neu);17300
Bauhof;Fla-Btg.F.Angest.U.Arb;57900
Bauhof;Energiebezüge;14000
Bauhof;Instandhaltung von Grund und Boden;8000
Bauhof;Instandhaltung von Gebäuden und Bauten;60000
Bauhof;Instandh. Heizung;3000
Bauhof;Instandhaltung von Maschinen und maschinellen Anlagen;14000
Bauhof;Instandhaltung von Fahrzeugen;0
Bauhof;Instandhaltung von Fahrzeugen / P2 Opel;4000
Bauhof;Instandhaltung von Fahrzeugen / P3 Suzuki SX4;1900
Bauhof;Instandhaltung von Fahrzeugen / P4 Citroen Berlingo;3500
Bauhof;Instandhaltung von Fahrzeugen / P6 VW Transporter;2500
Bauhof;Instandhaltung von Fahrzeugen / L1 MAN;17000
Bauhof;Instandhaltung von Fahrzeugen / L2 Steyr;5000
Bauhof;Instandhaltung von Fahrzeugen / L3 MAN;8000
Bauhof;Instandhaltung von Fahrzeugen / T1 Iveco;7500
Bauhof;Instandhaltung von Fahrzeugen / T2 Movano-Van Opel;5000
Bauhof;Instandhaltung von Fahrzeugen / T4 Dacia Logan;3500
Bauhof;Instandhaltung von Fahrzeugen / T5 E-Transporter;1100
Bauhof;Instandhaltung von Fahrzeugen / Walze und Anhänger;3000
Bauhof;Instandhaltung von sonstigen Anlagen;2000
Bauhof;Instandh. Telefonanlage;500
Bauhof;Telekommunikationsdienste;9000
Bauhof;Telekommunikationsdienste / Datennetz;3800
Bauhof;Kreditzinsen;1200
Bauhof;Versicherungen;2200
Bauhof;Versicherung allgemeine Haftpflicht;4100
Bauhof;Vers. Pkw 1 Opel;400
Bauhof;Vers. Pkw 3 Suzuki SX4;400
Bauhof;Vers. P 4 Citroen Berlingo;600
Bauhof;Vers. Pkw 6 VW Transporter;400
Bauhof;Vers.Lkw 1 Steyr;700
Bauhof;Vers.Lkw 2 Steyr;700
Bauhof;Vers.Lkw 3 MAN;600
Bauhof;Vers. T 1 Iveco;700
Bauhof;Vers. T 2 Movano-Van Opel;600
Bauhof;Vers. T 4 Dacia Logan;600
Bauhof;Vers. T 5 E-Transporter;700
Bauhof;Vers.Walze,Anhänger;100
Bauhof;Miet- und Pachtaufwand;2400
Bauhof;Leasing Kfz;7200
Bauhof;Öffentliche Abgaben / Kfz-Steuer;300
Bauhof;Öffentliche Abgaben Pkw 2 Opel;300
Bauhof;Öffentliche Abgaben Pkw 3 Suzuki SX4;500
Bauhof;Öffentliche Abgaben Pkw 4 Citroen Berlingo;300
Bauhof;Öffentliche Abgaben Pkw 6 VW Transporter;500
Bauhof;Öffentliche Abgaben Lkw 1 Steyr;1000
Bauhof;Öffentliche Abgaben Lkw 2 Steyr;300
Bauhof;Öffentliche Abgaben Lkw 3 Man;300
Bauhof;Öffentliche Abgaben T 1 Iveco;700
Bauhof;Öffentliche Abgaben T 2 Movano-Van Opel;500
Bauhof;Öffentliche Abgaben T 4 Dacia Logan;300
Bauhof;Öffentliche Abgaben T 5 E-Transporter;100
Bauhof;Kostenbeiträge / Verumlagung;0
Bauhof;Umlage Kosten Bauhof;1500
Bauhof;Sonstige Leistungen;2000
Bauhof;Dv-Programme;8000
Bauhof;Sonstige Aufwendungen;1000
Steinschlagschutzbauten;Schuldentilgung;2000
Steinschlagschutzbauten;Kreditzinsen;400
Steinschlagschutzbauten;Kreditzinsen;1000
Gewässerregulierung;Schuldentilgung;5500
Gewässerregulierung;Instandhaltung von Wasserbauten und -anlagen;110000
Gewässerregulierung;Kreditzinsen;1200
Gewässerregulierung;Kreditzinsen;1900
Gewässerregulierung;Kreditzinsen;3000
Gewässerregulierung;Kostenbeiträge / Verumlagung;0
Gewässerregulierung;Sonstige Aufwendungen / Interessentenbeiträge div. Flüsse und Gräben;18500
Gewässerregulierung;Kapitaltransfers an Gemeindeverbände / WV Nafla-Mühlbach-Ehbach;64000
Einrichtung und Maßnahmen STVO.;Maschinen und maschinelle Anlagen;2700
Einrichtung und Maßnahmen STVO.;Betriebsausstattung;2000
Einrichtung und Maßnahmen STVO.;Geringwertige Wirtschaftsgüter;18200
Einrichtung und Maßnahmen STVO.;Ankauf Verkehrszeichen;12000
Einrichtung und Maßnahmen STVO.;Sonstige Verbrauchsgüter / Markierfarbe;2000
Einrichtung und Maßnahmen STVO.;Energiebezüge;6500
Einrichtung und Maßnahmen STVO.;Instandh.Str.Pol.Maßnahmen;5000
Einrichtung und Maßnahmen STVO.;Instandhaltung von Gebäuden und Bauten / Parkleitsystem;10000
Einrichtung und Maßnahmen STVO.;Instandhaltung von sonstigen Anlagen / Verkehrszeichen;500
Einrichtung und Maßnahmen STVO.;Behebung v. Schäden;20000
Einrichtung und Maßnahmen STVO.;Kostenbeiträge / Verumlagung;0
Einrichtung und Maßnahmen STVO.;Umlage Kosten Bauhof;70000
Einrichtung und Maßnahmen STVO.;Entgelte für sonstige Leistungen / Bodenmarkierungen;71000
Einrichtung und Maßnahmen STVO.;Kapitaltransfers Land, Beitrag Verkehrsampeln;297000
Förderung der Land- und Forstwirtschaft;Chemische - und artverwandte Mittel;2500
Förderung der Land- und Forstwirtschaft;Geldbezüge Angestellte;17100
Förderung der Land- und Forstwirtschaft;Reisegebühren;300
Förderung der Land- und Forstwirtschaft;Mehrleistungsvergütung;0
Förderung der Land- und Forstwirtschaft;Dgb-Angest.Und Arbeit.;3400
Förderung der Land- und Forstwirtschaft;Kommunalsteuer;500
Förderung der Land- und Forstwirtschaft;Pensionskassa DG-Beitrag;100
Förderung der Land- und Forstwirtschaft;Mitarbeitervorsorge (Abfertigung neu);300
Förderung der Land- und Forstwirtschaft;Fla-Btg.F.Angest.U.Arb;700
Förderung der Land- und Forstwirtschaft;Instandhaltung von Straßenbauten / Güterwege;30000
Förderung der Land- und Forstwirtschaft;Entgelte für sonstige Leistungen;400
Förderung der Land- und Forstwirtschaft;Btg.für landwirtschaftliche  Betr.Helfer;1500
Förderung der Land- und Forstwirtschaft;Transfers an Unternehmen;0
Förderung der Land- und Forstwirtschaft;Transfers an private Organisationen;3200
Förderung der Land- und Forstwirtschaft;Zuwendung an Viehzuchtvereine;2500
Förderung der Land- und Forstwirtschaft;Zuwendung biolog./ökol.Landbau;7400
Förderung der Land- und Forstwirtschaft;Strukturverb.Maßnahmen;20000
Notstandsmaßnahmen;Sonstige Aufwendungen / Feuerbrand-, Neophytenbekämpfung Forstgebiete;7000
Notstandsmaßnahmen;Sonstige Aufwendungen / Feuerbrand-, Neophytenbekämpfung Straßenraum;20000
Maßnahmen zur Förderung Fremdenverkehr;Erweiterung Beleuchtung  historischer Gebäude;6000
Maßnahmen zur Förderung Fremdenverkehr;Energiebezüge / historische Gebäude;3000
Maßnahmen zur Förderung Fremdenverkehr;Sonstige Aufwendungen;3800
Maßnahmen zur Förderung Fremdenverkehr;Transfers an private Organisationen / STF-Tourismus;900000
Maßnahmen zur Förderung Fremdenverkehr;Zuw.Blumenschmuckwettbewerb;1500
Wirtschaftspolitische Maßnahmen;Geldbezüge Angestellte;32900
Wirtschaftspolitische Maßnahmen;Reisegebühren;400
Wirtschaftspolitische Maßnahmen;Sonst.Aufwandsentschä.;300
Wirtschaftspolitische Maßnahmen;Mehrleistungsvergütung;300
Wirtschaftspolitische Maßnahmen;Dgb-Angest.Und Arbeit.;7100
Wirtschaftspolitische Maßnahmen;Pensionskassa DG-Beitrag;300
Wirtschaftspolitische Maßnahmen;Fla-Btg.F.Angest.U.Arb;1300
Wirtschaftspolitische Maßnahmen;Amtspauschalien und Repräsentationsaufwendungen;2000
Wirtschaftspolitische Maßnahmen;Entgelte für sonstige Leistungen;2000
Wirtschaftspolitische Maßnahmen;Transfers an Unternehmen / STF;734000
Wirtschaftspolitische Maßnahmen;Transfers an private Organisationen / STF-Werbegemeinschaft;135000
Wirtschaftspolitische Maßnahmen;Transfers an private Organisationen / WIGI Gisingen;10000
Sonstige Einrichtungen u. Maßnahmen;Zuwendung an Wildpark;52000
Öffentliche Brunnen;Blumenschmuck;500
Öffentliche Brunnen;Energiebezüge;3200
Öffentliche Brunnen;Instandhaltung von sonstigen Grundstückseinrichtungen / Brunnen;7000
Öffentliche Brunnen;Kostenbeiträge / Verumlagung;0
WC-Anlagen;Geringwertige Wirtschaftsgüter;500
WC-Anlagen;Reinigungsmittel;1500
WC-Anlagen;Sonstige Verbrauchsgüter;500
WC-Anlagen;Geldbezüge Angestellte;21900
WC-Anlagen;Geldbezüge Aushilfen;8300
WC-Anlagen;Reisegebühren;500
WC-Anlagen;Mehrleistungsvergütung;8600
WC-Anlagen;Sonstige Nebengebühren;7300
WC-Anlagen;Dgb-Angest.Und Arbeit.;9200
WC-Anlagen;Pensionskassa DG-Beitrag;200
WC-Anlagen;Mitarbeitervorsorge (Abfertigung neu);700
WC-Anlagen;Fla-Btg.F.Angest.U.Arb;1800
WC-Anlagen;Energiebezüge;3000
WC-Anlagen;Instandhaltung von Gebäuden und Bauten;5000
WC-Anlagen;Kostenbeiträge / Verumlagung;0
WC-Anlagen;Aufwand Hygieneartikel;2000
Strassenreinigung;Maschinen und Geräte;15000
Strassenreinigung;Betriebsausstattung;1800
Strassenreinigung;Schuldentilgung;2700
Strassenreinigung;Geringwertige Wirtschaftsgüter;4100
Strassenreinigung;Treibstoffe;0
Strassenreinigung;Treibst.K 1 Kehrmaschine;10600
Strassenreinigung;Treibst.K 2;4200
Strassenreinigung;Treibst.K 3 Steyr-Trakt.;800
Strassenreinigung;Treibst.K 4;400
Strassenreinigung;Treibstoffe K 7;800
Strassenreinigung;Treibstoffe K 8;600
Strassenreinigung;Sonstige Verbrauchsgüter / Sand, Splitt, Salz;80000
Strassenreinigung;Besen für Kehrmaschine;2500
Strassenreinigung;Deponie-Kosten;58000
Strassenreinigung;Instandhaltung von Maschinen und maschinellen Anlagen;4000
Strassenreinigung;Instandhaltung von Fahrzeugen;0
Strassenreinigung;Instandhaltung von Fahrzeugen / K1 Kehrmaschine;20000
Strassenreinigung;Instandhaltung von Fahrzeugen / K2;12000
Strassenreinigung;Instandhaltung von Fahrzeugen / K3 Steyr-Traktor;5500
Strassenreinigung;Instandhaltung von Fahrzeugen / Räum-Zusatzgeräte;15000
Strassenreinigung;Instandhaltung von Fahrzeugen / K4;1500
Strassenreinigung;Instandhaltung von Fahrzeugen / K7;6000
Strassenreinigung;Instandhaltung von Fahrzeugen / K8;5000
Strassenreinigung;Instandhaltung Werkzeuge  und Geräte;0
Strassenreinigung;Kreditzinsen;500
Strassenreinigung;Vers.K 1 Kehrmaschine;700
Strassenreinigung;Vers.K 2 Bucher;700
Strassenreinigung;Vers.K 3 Steyr-Traktor;300
Strassenreinigung;Vers. Anhänger;100
Strassenreinigung;Vers. Tr.1 Iseki;500
Strassenreinigung;Vers.K 7 Iseki;300
Strassenreinigung;Vers.K 8 Iseki;300
Strassenreinigung;Öffentliche Abgaben / Kfz-Steuer;94000
Strassenreinigung;Kostenbeiträge / Verumlagung;0
Strassenreinigung;Winterdienst Personal;130000
Strassenreinigung;Winterdienst Kfz;20000
Strassenreinigung;Sommerdienst Personal;745000
Strassenreinigung;Sommerdienst Kfz;13000
Strassenreinigung;Entgelte für sonstige Leistungen;96500
Strassenreinigung;Fremdl.Schneeräumung;100000
Strassenreinigung;Fremdl.Streudienst;45000
Strassenreinigung;Sonstige Leistungen;700
Strassenreinigung;Sonstige Aufwendungen;300
Parkanlagen;Betriebsausstattung;19500
Parkanlagen;Adaptierung Margarethenkapf;300000
Parkanlagen;Schuldentilgung;1800
Parkanlagen;Geringwertige Wirtschaftsgüter;4200
Parkanlagen;Arbeits-/Schutzbekleidung;1900
Parkanlagen;Pflanzen, Sträucher, Blumen;6000
Parkanlagen;Dünger,Torfmull,Humus;2500
Parkanlagen;Treibstoffe;0
Parkanlagen;Treibstoffe T3 VW Crafter-Pritsche;2400
Parkanlagen;Sonstige Verbrauchsgüter;500
Parkanlagen;Geldbezüge Angestellte;192600
Parkanlagen;Reisegebühren;3300
Parkanlagen;Mehrleistungsvergütung;3100
Parkanlagen;Sonstige Nebengebühren;2100
Parkanlagen;Dgb-Angest.Und Arbeit.;41000
Parkanlagen;Kommunalsteuer;6000
Parkanlagen;Pensionskassa DG-Beitrag;1700
Parkanlagen;Mitarbeitervorsorge (Abfertigung neu);800
Parkanlagen;Fla-Btg.F.Angest.U.Arb;7700
Parkanlagen;Energiebezüge;0
Parkanlagen;Instandhaltung von sonstigen Grundstückseinrichtungen;18700
Parkanlagen;Instand. Margarethenkapf;13500
Parkanlagen;Instandhaltung von Fahrzeugen;0
Parkanlagen;Instandhaltung von Fahrzeugen / T3 VW Crafter-Pritsche;5300
Parkanlagen;Instandhaltung von sonstigen Anlagen;8000
Parkanlagen;Kreditzinsen;300
Parkanlagen;Versicherungen Kfz;700
Parkanlagen;Behebung v. Schäden;2000
Parkanlagen;Öffentliche Abgaben;600
Parkanlagen;Kostenbeiträge / Verumlagung;0
Parkanlagen;Umlage Kosten Bauhof;26000
Parkanlagen;Entgelte für sonstige Leistungen;500
Parkanlagen;Sonstige Aufwendungen;300
Spielplätze;Betriebsausstattung;20800
Spielplätze;Gw. Wg. des Anlagevermögens;200
Spielplätze;Energiebezüge;0
Spielplätze;Instandh. Spielplätze;140000
Spielplätze;Versicherungen;500
Spielplätze;Miet- und Pachtaufwand Liegenschaften;3000
Spielplätze;Spielraumkonzept;10000
Spielplätze;Sonstige Aufwendungen;200
Öffentliche Beleuchtung und Uhren;Schuldentilgung;5100
Öffentliche Beleuchtung und Uhren;Schuldentilgung;2400
Öffentliche Beleuchtung und Uhren;Schuldentilgung;2500
Öffentliche Beleuchtung und Uhren;Contracting/Umstellung LED;77000
Öffentliche Beleuchtung und Uhren;Energiebezüge / Straßenbeleuchtung;240000
Öffentliche Beleuchtung und Uhren;Instandhaltung von Sonderanlagen / öffentliche Beleuchtung;90000
Öffentliche Beleuchtung und Uhren;Instandh. öffentliche Uhren;2000
Öffentliche Beleuchtung und Uhren;Kreditzinsen;1100
Öffentliche Beleuchtung und Uhren;Kreditzinsen;500
Öffentliche Beleuchtung und Uhren;Kreditzinsen;400
Öffentliche Beleuchtung und Uhren;Kreditzinsen;600
Öffentliche Beleuchtung und Uhren;Versicherungen;400
Friedhöfe;Instandh. Anlagen,  Blumen;4300
Friedhöfe;Instandhaltung von Sonderanlagen / Gräber und Arkaden;500
Friedhöfe;Instandh.Kriegsgräber;500
Friedhöfe;Kostenbeiträge / Verumlagung;0
Friedhöfe;Transfers an private Organisationen;0
Friedhöfe;Btg.Friedhof Gisingen;15000
Friedhöfe;Btg.Friedhof Altenstadt;28500
Marktwesen;Betriebsausstattung;6000
Marktwesen;Geringwertige Wirtschaftsgüter;0
Marktwesen;Geldbezüge Angestellte;0
Marktwesen;Reisegebühren;0
Marktwesen;Mehrleistungsvergütung;0
Marktwesen;Sonstige Nebengebühren;0
Marktwesen;Dgb-Angest.Und Arbeit.;0
Marktwesen;Pensionskassa DG-Beitrag;0
Marktwesen;Fla-Btg.F.Angest.U.Arb;0
Marktwesen;Instandhaltung von sonstigen Anlagen;2800
Marktwesen;Sonstige Ausgaben, Märkte;2000
Schwimmbad Felsenau;Betriebsausstattung;4800
Schwimmbad Felsenau;A.o. Instandh. Gebäude;25000
Schwimmbad Felsenau;Versicherungen;1400
Schwimmbad Felsenau;Öffentliche Abgaben;500
Schwimmbad Felsenau;Transfers an Unternehmen / FBF;141200
Grundbesitz;Energiebezüge;2800
Grundbesitz;Instandhaltung von Grund und Boden;35000
Grundbesitz;Instandhaltung von sonstigen Grundstückseinrichtungen / Hundeflanierzonen;3000
Grundbesitz;Zinsen für Finanzschulden;0
Grundbesitz;Versicherungen;400
Grundbesitz;Öffentliche Abgaben;33000
Grundbesitz;Gebühren;5000
Grundbesitz;Kostenbeiträge / Verumlagung;0
Grundbesitz;Sonstige Aufwendungen;8000
Grundbesitz;Sonstige Aufwendungen / Umlegung als Privatbeteiligte;35000
Alpe Nenzingerberg;Versicherungen;400
Alpe Nenzingerberg;Öffentliche Abgaben;800
Alpe Nenzingerberg;Anteil Wegerhaltung;400
Abwasserbeseitigung;Betriebsausstattung;0
Abwasserbeseitigung;Abwasserverband Beteiligung;76500
Abwasserbeseitigung;Zuführung an Rücklage;1306800
Abwasserbeseitigung;Schuldentilgung;11400
Abwasserbeseitigung;Schuldentilgung;15000
Abwasserbeseitigung;Schuldentilgung;78200
Abwasserbeseitigung;Schuldentilgung;14800
Abwasserbeseitigung;Schuldentilgung;32400
Abwasserbeseitigung;Schuldentilgung;27700
Abwasserbeseitigung;Schuldentilgung;3700
Abwasserbeseitigung;Schuldentilgung;23400
Abwasserbeseitigung;Schuldentilgung;29600
Abwasserbeseitigung;Schuldentilgung;79300
Abwasserbeseitigung;Schuldentilgung;13800
Abwasserbeseitigung;Schuldentilgung;48900
Abwasserbeseitigung;Schuldentilgung;27100
Abwasserbeseitigung;Schuldentilgung;37600
Abwasserbeseitigung;Schuldentilgung;30700
Abwasserbeseitigung;Schuldentilgung;32100
Abwasserbeseitigung;Schuldentilgung;14100
Abwasserbeseitigung;Schuldentilgung;11600
Abwasserbeseitigung;Schuldentilgung;43500
Abwasserbeseitigung;Schuldentilgung;34900
Abwasserbeseitigung;Schuldentilgung;20100
Abwasserbeseitigung;Schuldentilgung;17800
Abwasserbeseitigung;Schuldentilgung;29900
Abwasserbeseitigung;Schuldentilgung;9600
Abwasserbeseitigung;Schuldentilgung;26400
Abwasserbeseitigung;Schuldentilgung;31200
Abwasserbeseitigung;Schuldentilgung;10800
Abwasserbeseitigung;Schuldentilgung;28000
Abwasserbeseitigung;Schuldentilgung;42300
Abwasserbeseitigung;Schuldentilgung;11600
Abwasserbeseitigung;Schuldentilgung;31400
Abwasserbeseitigung;Schuldentilgung;11000
Abwasserbeseitigung;Schuldentilgung;23400
Abwasserbeseitigung;Schuldentilgung;22000
Abwasserbeseitigung;Schuldentilgung;46800
Abwasserbeseitigung;Schuldentilgung;25500
Abwasserbeseitigung;Geringwertige Wirtschaftsgüter;500
Abwasserbeseitigung;Geldbezüge der Beamten;1600
Abwasserbeseitigung;Geldbezüge Angestellte;190800
Abwasserbeseitigung;Reisegebühren;2800
Abwasserbeseitigung;Mehrleistungsvergütung;5600
Abwasserbeseitigung;Dienstjubiläen;500
Abwasserbeseitigung;Sonstige Nebengebühren;0
Abwasserbeseitigung;Dgb-Beamte;100
Abwasserbeseitigung;Dgb-Angest.u.Arbeiter;39600
Abwasserbeseitigung;Pensionskassa DG-Beitrag;1700
Abwasserbeseitigung;Mitarbeitervorsorge (Abfertigung neu);2400
Abwasserbeseitigung;Fla-Btg.F.Angest.U.Arb;7700
Abwasserbeseitigung;Energiebezüge;22000
Abwasserbeseitigung;Instandhaltung von Abwasserbauten und -anlagen;125000
Abwasserbeseitigung;Instandh. Pumpstationen;55000
Abwasserbeseitigung;Telekommunikationsdienste;5000
Abwasserbeseitigung;Kreditzinsen;2700
Abwasserbeseitigung;Kreditzinsen;2200
Abwasserbeseitigung;Kreditzinsen;1300
Abwasserbeseitigung;Kreditzinsen;3000
Abwasserbeseitigung;Kreditzinsen;800
Abwasserbeseitigung;Kreditzinsen;3200
Abwasserbeseitigung;Kreditzinsen;2100
Abwasserbeseitigung;Kreditzinsen;200
Abwasserbeseitigung;Kreditzinsen;2300
Abwasserbeseitigung;Kreditzinsen;200
Abwasserbeseitigung;Kreditzinsen;1600
Abwasserbeseitigung;Kreditzinsen;2400
Abwasserbeseitigung;Kreditzinsen;700
Abwasserbeseitigung;Kreditzinsen;1800
Abwasserbeseitigung;Kreditzinsen;1500
Abwasserbeseitigung;Kreditzinsen;0
Abwasserbeseitigung;Kreditzinsen;3500
Abwasserbeseitigung;Kreditzinsen;1100
Abwasserbeseitigung;Kreditzinsen;1800
Abwasserbeseitigung;Kreditzinsen;8900
Abwasserbeseitigung;Kreditzinsen;2000
Abwasserbeseitigung;Kreditzinsen;3900
Abwasserbeseitigung;Kreditzinsen;8400
Abwasserbeseitigung;Kreditzinsen;2200
Abwasserbeseitigung;Kreditzinsen;8300
Abwasserbeseitigung;Kreditzinsen;9800
Abwasserbeseitigung;Kreditzinsen;3400
Abwasserbeseitigung;Kreditzinsen;6200
Abwasserbeseitigung;Kreditzinsen;5800
Abwasserbeseitigung;Kreditzinsen;2600
Abwasserbeseitigung;Kreditzinsen;7000
Abwasserbeseitigung;Kreditzinsen;3300
Abwasserbeseitigung;Kreditzinsen;7100
Abwasserbeseitigung;Kreditzinsen;3400
Abwasserbeseitigung;Kreditzinsen;500
Abwasserbeseitigung;Kreditzinsen;3100
Abwasserbeseitigung;Versicherungen;1000
Abwasserbeseitigung;Kostenbeiträge für Leistungen / Einhebegebühren;122100
Abwasserbeseitigung;Kostenbeiträge / Verumlagung;0
Abwasserbeseitigung;Abwasserverband  Betriebskostenanteil;1200000
Abwasserbeseitigung;Entgelte für sonstige Leistungen / Kanalkataster (GIS);120000
Abwasserbeseitigung;Entgelte für sonstige Leistungen / Kanalkataster Instandh.;20000
Abwasserbeseitigung;Sonstige Aufwendungen;3000
Abwasserbeseitigung;Gewinnentnahmen von Unternehmungen;107600
Abfallbeseitigung;Wertmüllstationen;75000
Abfallbeseitigung;Betriebsausstattung;25300
Abfallbeseitigung;Zuführung an Rücklage;267000
Abfallbeseitigung;Geringwertige Wirtschaftsgüter;22500
Abfallbeseitigung;Arbeits-/Schutzbekleidung;3600
Abfallbeseitigung;Müllgefäße;70000
Abfallbeseitigung;Treibstoffe;0
Abfallbeseitigung;Treibstoffe M1 Restmüll;11000
Abfallbeseitigung;Treibstoffe M2 Biomüll;13600
Abfallbeseitigung;Treibstoffe M3 VW-Pritsche;2300
Abfallbeseitigung;Treibstoffe M5 Teleskop Radlader;500
Abfallbeseitigung;Treibstoffe M7 Radlader;2300
Abfallbeseitigung;Schreib-, Zeichen- und sonstige Büromittel;800
Abfallbeseitigung;Sonstige Verbrauchsgüter;500
Abfallbeseitigung;Geldbezüge Angestellte;223100
Abfallbeseitigung;Geldbezüge Arbeiter;73000
Abfallbeseitigung;Geldbezüge Aushilfen;15500
Abfallbeseitigung;Reisegebühren;2200
Abfallbeseitigung;Sonst.Aufwandsentschä.;3100
Abfallbeseitigung;Mehrleistungsvergütung;10200
Abfallbeseitigung;Dienstjubiläen;5000
Abfallbeseitigung;Sonstige Nebengebühren;25900
Abfallbeseitigung;Dgb-Angest.Und Arbeit.;76300
Abfallbeseitigung;Kommunalsteuer;11000
Abfallbeseitigung;Pensionskassa DG-Beitrag;2900
Abfallbeseitigung;Mitarbeitervorsorge (Abfertigung neu);2400
Abfallbeseitigung;Fla-Btg.F.Angest.U.Arb;13700
Abfallbeseitigung;Energiebezüge;0
Abfallbeseitigung;Instandhaltung von sonstigen Grundstückseinrichtungen / Wertmüllstationen;12000
Abfallbeseitigung;Entsorgung Grünmüll;50000
Abfallbeseitigung;Instandhaltung von Fahrzeugen / M1 Restmüll;9000
Abfallbeseitigung;Instandhaltung von Fahrzeugen / M2 Biomüll;10000
Abfallbeseitigung;Instandhaltung von Fahrzeugen / M3 VW-Pritsche;5000
Abfallbeseitigung;Instandhaltung von Fahrzeugen / M4 Hubstapler;0
Abfallbeseitigung;Instandhaltung von Fahrzeugen / M5 Teleskop Radlader;6000
Abfallbeseitigung;Instandhaltung von Fahrzeugen / M7 Radlader;4000
Abfallbeseitigung;Instandhaltung von sonstigen Anlagen;4000
Abfallbeseitigung;Postdienste;7500
Abfallbeseitigung;Telekommunikationsdienste;2200
Abfallbeseitigung;Versicherungen;100
Abfallbeseitigung;Versicherung M1 Restmüll;1800
Abfallbeseitigung;Versicherung M2 Biomüll;700
Abfallbeseitigung;Versicherung M3 VW-Pritsche;700
Abfallbeseitigung;Versicherung Anhänger FK-875 AF;100
Abfallbeseitigung;Versicherung M5 Teleskop Radlader;700
Abfallbeseitigung;Öffentliche Abgaben M1 Restmüll;700
Abfallbeseitigung;Öffentliche Abgaben M2 Biomüll;2500
Abfallbeseitigung;Öffentliche Abgaben M3 VW-Pritsche;400
Abfallbeseitigung;Kostenbeiträge für Leistungen / Einhebegebühren;54000
Abfallbeseitigung;Kostenbeiträge / Verumlagung;0
Abfallbeseitigung;Btg. an Abfallverband;34500
Abfallbeseitigung;Umlage Kosten Bauhof;155000
Abfallbeseitigung;Mitgliedsbeiträge an Institutionen;0
Abfallbeseitigung;Sperrmüllabfuhr/Holz;4000
Abfallbeseitigung;Müllverarbeitung;420000
Abfallbeseitigung;Sonstige Leistungen;12000
Abfallbeseitigung;Altstoffentsorgung;35000
Abfallbeseitigung;Entgelte für sonstige Leistungen / Vergütung Verkaufsstellen;4300
Abfallbeseitigung;Sonstige Aufwendungen / Verlautbarungen;32000
Abfallbeseitigung;Flursäuberung;3400
Abfallbeseitigung;Gewinnentnahmen von Unternehmungen;658100
Altstoffsammelzentrum;Betriebsausstattung;3000
Altstoffsammelzentrum;Schuldentilgung;45000
Altstoffsammelzentrum;Gw. Wg. des Anlagevermögens;1000
Altstoffsammelzentrum;Arbeits-/Schutzbekleidung;2000
Altstoffsammelzentrum;Ankauf von Müllgefäßen;1500
Altstoffsammelzentrum;Treibstoffe;200
Altstoffsammelzentrum;Schreib- und Büromittel;500
Altstoffsammelzentrum;Sonstige Verbrauchsgüter;400
Altstoffsammelzentrum;Geldbezüge Angestellte;154300
Altstoffsammelzentrum;Geldbezüge Arbeiter;39200
Altstoffsammelzentrum;Geldbezüge Aushilfen;3100
Altstoffsammelzentrum;Reisegebühren;1600
Altstoffsammelzentrum;Sonst.Aufwandsentschädigung;600
Altstoffsammelzentrum;Mehrleistungsvergütung;3000
Altstoffsammelzentrum;Sonstige Nebengebühren;8800
Altstoffsammelzentrum;Dgb-Angest.u.Arbeiter;42400
Altstoffsammelzentrum;Kommunalsteuer;6500
Altstoffsammelzentrum;Pensionskassa DG-Beitrag;1800
Altstoffsammelzentrum;Mitarbeitervorsorge (Abfertigung neu);2500
Altstoffsammelzentrum;Fla-Btg.F.Angest.U.Arb;8200
Altstoffsammelzentrum;Strom,(Ab)Wasser,Müll;5000
Altstoffsammelzentrum;Instandh.Grund u.Boden;1000
Altstoffsammelzentrum;Entsorgung Grünmüll;13000
